iShares Russell 2000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 22, 2000"
Shares Outstanding,"283,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","580,495,324.92","0.83","580,495,324.92","3,643,581.00","159.32","United States","NASDAQ","USD","1.00","USD","-"
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","341,734,350.99","0.49","341,734,350.99","5,078,531.00","67.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","324,723,882.96","0.46","324,723,882.96","896,631.00","362.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","277,521,696.10","0.40","277,521,696.10","5,898,442.00","47.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Industrials","Equity","276,452,724.69","0.40","276,452,724.69","4,085,307.00","67.67","United States","NASDAQ","USD","1.00","USD","-"
"SATS","ECHOSTAR CORP CLASS A","Communication","Equity","259,789,049.28","0.37","259,789,049.28","3,372,132.00","77.04","United States","NASDAQ","USD","1.00","USD","-"
"HIMS","HIMS HERS HEALTH INC CLASS A","Health Care","Equity","245,206,374.72","0.35","245,206,374.72","4,737,372.00","51.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","244,318,000.27","0.35","244,318,000.27","15,895,771.00","15.37","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NXT","NEXTRACKER INC CLASS A","Industrials","Equity","238,134,667.50","0.34","238,134,667.50","3,527,921.00","67.50","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","237,767,498.96","0.34","237,767,498.96","2,684,212.00","88.58","United States","NASDAQ","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","236,186,186.75","0.34","236,186,186.75","1,397,965.00","168.95","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","234,981,177.60","0.34","234,981,177.60","743,235.00","316.16","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","228,337,859.75","0.33","228,337,859.75","1,200,199.00","190.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","224,424,098.82","0.32","224,424,098.82","1,122,738.00","199.89","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","224,284,705.67","0.32","224,284,705.67","224,284,706.00","1.00","United States","-","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","221,177,614.32","0.32","221,177,614.32","1,817,699.00","121.68","United States","NASDAQ","USD","1.00","USD","-"
"IDCC","INTERDIGITAL INC","Information Technology","Equity","209,758,488.03","0.30","209,758,488.03","645,669.00","324.87","United States","NASDAQ","USD","1.00","USD","-"
"OKLO","OKLO INC CLASS A","Utilities","Equity","204,252,176.70","0.29","204,252,176.70","2,554,110.00","79.97","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
