iShares Russell 1000 ETF
Fund Holdings as of,"Sep 11, 2025"
Inception Date,"May 15, 2000"
Shares Outstanding,"122,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,022,800,482.94","6.80","3,022,800,482.94","17,061,582.00","177.17","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","2,708,754,653.88","6.10","2,708,754,653.88","5,406,588.00","501.01","United States","NASDAQ","USD","1.00","USD","-"
"AAPL","APPLE INC","Information Technology","Equity","2,471,945,165.58","5.56","2,471,945,165.58","10,746,186.00","230.03","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","1,608,040,579.95","3.62","1,608,040,579.95","6,993,001.00","229.95","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","1,210,781,785.09","2.73","1,210,781,785.09","3,366,743.00","359.63","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","1,195,205,277.30","2.69","1,195,205,277.30","1,591,697.00","750.90","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","1,018,572,442.03","2.29","1,018,572,442.03","4,237,519.00","240.37","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","830,781,774.06","1.87","830,781,774.06","3,450,377.00","240.78","United States","NASDAQ","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","756,256,338.11","1.70","756,256,338.11","2,050,531.00","368.81","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","668,128,291.06","1.50","668,128,291.06","1,344,566.00","496.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
