symbol,side,entry_date,entry_price,exit_date,exit_price,qty,pnl,r_multiple,commission,slippage_cost,reason,part,bars_held,mfe_R,atr_pct_entry,target_R_at_entry,adaptive_shrunk,entry_setup_type,entry_adx14,entry_rvol20,entry_ema20_dist_pct,entry_pivot_dist_pct,entry_atr_pct,entry_mtf_state,qty_cap_reason,order_type,days_to_fill,time_to_BE_bars,time_to_1R_bars,be_armed_bar,trail_active_bar,position_id,mae_R,setup_type,signal_ext_pct,signal_rvol,pivot_dist_pct,ema20_dist_pct,evidence_w_now,evidence_two_bar,mom_fail_now,cyc_fail_now,val_fail_now,mom_streak,cyc_streak,val_streak,exit_macd,exit_macds,exit_slowk,exit_slowd,exit_ema50,exit_close,evidence_mom_fail,evidence_cycle_fail,evidence_value_fail
RNGR,long,2024-03-05 05:00:00,10.057011,2024-03-05 05:00:00,10.267946,1242,261.98127000000125,2.1743410541073125,0.0,2.551068,target_same_day,full,0,0.0,0.022637460375051103,2.1955139107936605,False,breakout,27.23253962114502,4.742706687730385,,,0.022637460375051103,none,risk_cap,limit,5.0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
RNGR,long,2024-03-05 05:00:00,10.057011,2024-03-05 05:00:00,10.267946,1242,261.98127000000125,2.1743410541073125,0.0,2.551068,target_same_day,full,0,0.0,0.023257744160845955,2.1955139107936605,False,breakout,27.23253962114502,4.742706687730385,,,0.023257744160845955,none,risk_cap,limit,4.0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
MAMA,long,2024-04-23 04:00:00,4.831748224884157,2024-04-23 04:00:00,4.89902,2614,175.84842015281455,2.1189145333732786,0.0,2.5617200000000007,target_same_day,full,0,0.0,0.02932327942948816,2.149782400902126,False,breakout,16.96431719118471,2.1329802883200943,,,0.02932327942948816,none,risk_cap,limit,1.0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
VCEL,long,2024-05-09 04:00:00,46.929384,2024-05-09 04:00:00,48.480302,270,418.7478600000008,2.1862883854160833,0.0,2.61846,target_same_day,full,0,0.0,0.032512942006777935,2.1999594013961454,False,breakout,16.023975504047915,0.9042857142857142,,,0.032512942006777935,none,risk_cap,limit,2.0,,,,,4,,,,,,,,,,,,,,,,,,,,,,,
MITK,long,2024-05-13 04:00:00,13.05665893088055,2024-05-17 04:00:00,13.022395,400,-13.70557235222023,-0.026838750782809073,0.0,1.042,evidence_consecutive,full,3,0.9895681912851111,0.03604585780276472,2.2036747647071264,False,pullback,18.02408665735107,2.2234723712942746,,,0.03604585780276472,none,full_size,limit,5.0,,,,,5,0.0,pullback,,,,,1.5,1.5,False,True,True,0.0,1.0,1.0,0.15695135231999835,0.11956105326382065,36.57801418439716,63.15420985633748,13.133624290231019,13.025,0.0,1.0,1.0
CDNA,long,2024-07-09 04:00:00,14.592536392246638,2024-07-09 04:00:00,15.296940000000001,875,616.3531567841928,2.1839507872175785,0.0,2.6775,target_same_day,full,0,0.0,0.05604581447591244,2.1934380887238834,False,breakout,20.349678466403358,0.8024700120661509,,,0.05604581447591244,up,risk_cap,limit,1.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
NRIM,long,2024-07-08 04:00:00,55.5111,2024-07-11 04:00:00,60.067983999999996,230,1048.0833199999993,26.632869666862153,0.0,2.7636800000000004,target,full,2,0.0,0.014814210128124816,2.2144944476914747,False,breakout,29.9278242199776,0.0,,,0.014814210128124816,up,risk_cap,limit,5.0,3.0,,2024-07-11 04:00:00,,6,0.0648743424897679,breakout,,,,,0.5,0.5,True,False,False,1.0,0.0,0.0,0.8192893689761434,0.8730724696717201,29.803493449781637,9.934497816593874,54.11585961605971,58.23,1.0,0.0,0.0
NTGR,long,2024-07-09 04:00:00,14.312862,2024-07-11 04:00:00,14.977004,892,592.414664,5.405593267242863,0.0,2.672432,target,full,1,1.6859403232895152,0.02995448620577257,2.1742931093421585,False,pullback,27.556273580288803,0.6274684815352003,,,0.02995448620577257,up,risk_cap,limit,1.0,1.0,1.0,2024-07-10 04:00:00,2024-07-10 04:00:00,8,0.0,pullback,,,,,0.0,0.0,True,False,False,0.0,0.0,0.0,0.17737522766424085,0.2369645836734017,65.37446831421951,44.253503384055364,14.269701778796184,14.85,1.0,0.0,0.0
KRG,long,2024-07-10 04:00:00,21.90438,2024-07-11 04:00:00,22.605477999999998,591,414.34891799999895,3.27035171191344,0.0,2.672502,target,full,0,0.0,0.013806789319739032,2.2185838231178407,False,pullback,31.28187095644507,0.7538572509280274,,,0.013806789319739032,up,risk_cap,limit,2.0,1.0,,2024-07-11 04:00:00,,10,0.0,pullback,,,,,0.0,0.0,False,False,False,0.0,0.0,0.0,0.1848716395129344,0.16468700940192274,77.18623709025587,45.178603953307686,21.786503598722216,22.9,0.0,0.0,0.0
NXRT,long,2024-07-09 04:00:00,38.00610977870348,2024-07-12 04:00:00,39.497099000000006,336,500.9723783556318,1.0756646004554837,0.0,2.654736,evidence_consecutive,full,2,1.445693733703314,0.01608629485721359,2.203209491930007,False,pullback,25.934511904148955,1.4574568288854004,,,0.01608629485721359,up,risk_cap,limit,1.0,2.0,2.0,2024-07-11 04:00:00,2024-07-11 04:00:00,9,0.0,pullback,,,,,0.5,0.5,True,False,False,1.0,0.0,0.0,0.6244288747247992,0.6304214619927855,76.58790318364782,55.00506251589771,36.972199898561634,39.505,1.0,0.0,0.0
